;Прайс-лист;;;;;;;;
;;;;;;;;;
;УрАА ООО;;;;;;;;
;;;;;;;;;
;В валютах цен.;;;;;;;;
;Цены указаны на 24.11.2022;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Ценовая группа/ Номенклатура;Остаток;Номенклатура.Код;Номенклатура.Артикул;Номенклатура.Бренд;Интернет;;Основная цена продажи;
;;;;;;Цена;Ед.;Цена;Ед.
;;;;;;;;;
;АВТОМАГНАТ, БелАК;;;;;;;;
;Лампа паяльная ЛП-0,5 090007;;Ф1067;;АВТОМАГНАТ;473,00 руб.;шт.;442,00 руб.;шт.
;Лампа паяльная ЛП-1,0  090004;;Ф1068;;АВТОМАГНАТ;852,00 руб.;шт.;796,00 руб.;шт.
;Лампа паяльная ЛП-1,5  090002 (15-01);;Ф1069;;;974,00 руб.;шт.;910,00 руб.;шт.
;Лампа паяльная ЛП-1,5  15-02;;Ф2005;;;974,00 руб.;шт.;910,00 руб.;шт.
;Лампа паяльная ЛП-2,0 (QD 20-1)  090006  чуг. 20-01;;Ф1070;;;1 098,00 руб.;шт.;1 026,00 руб.;шт.
;Лампа паяльная ЛП-2,0 УК (RQ 20- В) жел. 20-02;;Ф1071;;;1 267,00 руб.;шт.;1 184,00 руб.;шт.
;Лампа паяльная ЛП-2,5  090008;;Ф1072;;;1 098,00 руб.;шт.;1 026,00 руб.;шт.
;Лампа паяльная ЛП-3,0  090009;;Ф1073;;;974,00 руб.;шт.;910,00 руб.;шт.
;Механизм стеклооч. Трапеция  6430-5205500 -010 МАЗ 6430,5440 (АМ);1,000;Ф2968;AM-32-016;АВТОМАГНАТ;1 338,00 руб.;шт.;1 250,00 руб.;шт.
;Механизм стеклооч. Трапеция  ВАЗ 2101 (Прамо)  2101-5205400 Р;37,000;Ф0997;2101-5205400 Р;ПРАМО;399,00 руб.;шт.;372,00 руб.;шт.
;Механизм стеклооч. Трапеция 13.5205500 МАЗ (АМ) AM-32-015;7,000;Ф2965;AM-32-015;АВТОМАГНАТ;769,00 руб.;шт.;718,00 руб.;шт.
;Механизм стеклооч. Трапеция 271-5205500 КАМАЗ (2-х щеточный) БАК.13009;;Ф7140;БАК.13009;;693,00 руб.;шт.;647,00 руб.;шт.
;Механизм стеклооч. Трапеция 271-5205500 КАМАЗ (2-х щеточный) СТАТО;3,000;Ф6229;271-5205500;СтАТО;1 021,00 руб.;шт.;954,00 руб.;шт.
;Механизм стеклооч. Трапеция 271(272)-5205510 (89.5205210) КАМАЗ (2-х щеточный);;Ф2966;271-5205510;МАРК;1 487,00 руб.;шт.;1 389,00 руб.;шт.
;Механизм стеклооч. Трапеция 272.5205500 КАМАЗ (3-х щеточный) AM-32-008;1,000;Ф2967;AM-32-008;АВТОМАГНАТ;744,00 руб.;шт.;695,00 руб.;шт.
;Механизм стеклооч. Трапеция 272.5205500 КАМАЗ (3-х щеточный) БАК.13010;;Ф7031;БАК.13010;БелАК;796,00 руб.;шт.;743,00 руб.;шт.
;Механизм стеклооч. Трапеция 64221-35205500-010 Р МАЗ (АМ) AM-32-017;3,000;Ф5003;AM-32-017;АВТОМАГНАТ;1 322,00 руб.;шт.;1 235,00 руб.;шт.
;Механизм стеклоочистителя  A21R23.5205800 Газель NEXT, ГАЗон NEXT (левый) МАРК;2,000;Ф6356;A21R23.5205800;МАРК;385,00 руб.;шт;359,00 руб.;шт
;Механизм стеклоочистителя  A21R23.5205801 Газель NEXT, ГАЗон NEXT (правый) МАРК;2,000;Ф6357;A21R23.5205801;МАРК;381,00 руб.;шт;356,00 руб.;шт
;Механизм стеклоочистителя 787.000.030 со щеткой  Рычаг  МТЗ-80/82 МТЗ-822 ,-1005, -1221 ДОРЭЛЕКТР;5,000;Ф5707;787.000.030;Китай;1 032,00 руб.;шт.;964,00 руб.;шт.
;Механизм стеклоочистителя ВАЗ-1118 Калина (1117-5205015);;Ф1088;1117-5205015;;1 138,00 руб.;шт;1 063,00 руб.;шт
;Механизм стеклоочистителя Ваз-2103, 21030-5205010 БАК.13001;1,000;Ф0545;БАК.13001;БелАК;585,00 руб.;шт;546,00 руб.;шт
;Механизм стеклоочистителя Ваз-2108, 21080-5205010;;Ф0546;21080-5205010;;982,00 руб.;шт.;917,00 руб.;шт.
;Механизм стеклоочистителя Ваз-2110, 21100-5205015;;Ф0547;21100-5205015;;1 017,00 руб.;шт.;950,00 руб.;шт.
;Механизм стеклоочистителя ВАЗ-2170 Приора (2170-5205015);;Ф1087;2170-5205015;;1 060,00 руб.;шт;990,00 руб.;шт
